country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES130,Cantabria,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,OTHER,NA,NA,NA,3169,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,PODEMOS-IU,NA,NA,NA,28376,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,84583,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,PRC,NA,NA,NA,68830,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,76028,501676,329821,327089.00
Spain,ES,3,ES130,Cantabria,Parliament,2019,VOX,Voice,Vox,3218,48827,501676,329821,327089.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,3824,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,CUP-PR,NA,NA,NA,0,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,EAJ-PNV,NA,NA,NA,116761,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,98951,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,OTHER,NA,NA,NA,3827,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,PODEMOS-IU,NA,NA,NA,57363,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,23619,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,69342,584461,384546,382868.00
Spain,ES,3,ES212,Guipuzcoa,Parliament,2019,VOX,Voice,Vox,3218,7274,584461,384546,382868.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,6929,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,CUP-PR,NA,NA,NA,0,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,EAJ-PNV,NA,NA,NA,221979,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,94669,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,8542,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,OTHER,NA,NA,NA,5791,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,PODEMOS-IU,NA,NA,NA,97125,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,55621,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,120566,949598,633977,630312.00
Spain,ES,3,ES213,Vizcaya,Parliament,2019,VOX,Voice,Vox,3218,15284,949598,633977,630312.00
Spain,ES,3,ES220,Navarra,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,CUP-PR,NA,NA,NA,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,EAJ-PNV,NA,NA,NA,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,56548,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,GBAI,NA,NA,NA,12709,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,NA+,NA,NA,NA,99078,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,OTHER,NA,NA,NA,4524,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,PODEMOS-IU,NA,NA,NA,55498,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,0,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,83734,512826,337996,334982.00
Spain,ES,3,ES220,Navarra,Parliament,2019,VOX,Voice,Vox,3218,19440,512826,337996,334982.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,11673,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,CUP-PR,NA,NA,NA,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,EAJ-PNV,NA,NA,NA,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,OTHER,NA,NA,NA,2388,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,PODEMOS-IU,NA,NA,NA,16273,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,56450,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,57485,250213,167549,164934.00
Spain,ES,3,ES230,La Rioja,Parliament,2019,VOX,Voice,Vox,3218,18908,250213,167549,164934.00
Spain,ES,3,ES241,Huesca,Parliament,2019,CHA,NA,NA,NA,2000,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,9244,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,CUP-PR,NA,NA,NA,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,EAJ-PNV,NA,NA,NA,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,OTHER,NA,NA,NA,1813,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,PODEMOS-IU,NA,NA,NA,14035,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,29804,172722,114791,113597.00
Spain,ES,3,ES241,Huesca,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,38101,172722,114791,113597.00
